"""A Sunday Afternoon on the Island of La Grande Jatte"" by Georges Seurat",a_sunday_afternoon.jpeg
"""American Gothic"" by Grant Wood",american_gothic.jpeg
Christ Pantocrator,christ_pantocrator.jpeg
Codex Borgia,codex_borgia.jpeg
"""Eight Landscapes"" by Lu Han",eight_landscapes.jpeg
"""Freedom From Want"" by Norman Rockwell",freedom_from_want.jpeg
"""Girl with a Mandolin"" by Pablo Picasso",girl_with_a_mandolin.jpeg
Mughal Painting,mughal_painting.jpeg
"""The Creation of Adam"" by Michelangelo",the_creation_of_adam.jpeg
"""The Death of Socrates"" by Jacques-Louis David",the_death_of_socrates.jpeg
"""The fainting of Laylah and Majnun"" by ",the_fainting_of_laylah_and_majnun.jpeg
"""The Garden of Earthly Delights"" by Hieronymus Bosch",the_garden_of_earthly_delights.jpeg
"""The Great Wave off Kanagawa"" by Katsushika Hokusai",the_great_wave.jpeg
The Jina Buddha Ratnasambhava,the_jina_buddha_ratnasambhava.jpeg
"""The Old Guitarist"" by Pablo Picasso",the_old_guitarist.jpeg
"""The Scream"" by Edvard Munch",the_scream.jpeg
"""The Starry Night"" by Vincent van Gogh",the_starry_night.jpeg
"""The Stone Breakers"" by Gustave Courbet",the_stone_breakers.jpeg
"""Three Beauties of the Present Time"" by Kitagawa Utamaro",three_beauties_of_the_present_time.jpeg
Tomb of Nebamun and Ipuky,tomb_of_nebamun_and_ipuky.jpeg
"""Wanderer above the Sea of Fog"" by Caspar David Friedrich",wanderer_above_the_sea_of_fog.jpeg
"""Water Lilies"" by Claude Monet",water_lilies.jpeg
"""Woman with a Hat"" by Henri Matisse",woman_with_a_hat.jpeg